Property Number,Webpage,Value,Beds,Baths,LivingSpace,LotSize,YearBuilt,TotRooms,BuildExtType,SchoolDist
34,https://www.realtor.com/realestateandhomes-detail/8314-Shane-Edmonds-Ln_Mechanicsville_VA_23111_M65692-63738?view=qv,293950,4,2.5,2242,0.24,1998,7,Vinyl,Lee Davis
35,https://www.realtor.com/realestateandhomes-detail/8315-Old-Cavalry-Ct_Mechanicsville_VA_23111_M69076-34124?view=qv,234900,3,2,1712,0.2,1988,6,Wood,Hanover
36,https://www.realtor.com/realestateandhomes-detail/7731-Willow-Dance-Rd_Mechanicsville_VA_23111_M64753-33783?view=qv,344950,4,2.5,3081,0.33,2003,9,Vinyl,Lee Davis
37,https://www.realtor.com/realestateandhomes-detail/7004-Hawks-Hill-Ln_Mechanicsville_VA_23111_M66984-30124?view=qv,244900,3,2,1373,0.19,1998,5,Vinyl,Lee Davis
38,https://www.realtor.com/realestateandhomes-detail/10230-Doncastle-Ct_Mechanicsville_VA_23116_M50409-95476?view=qv,424950,5,3.5,3250,0.34,2001,9,Vinyl,Atlee
39,https://www.realtor.com/realestateandhomes-detail/9443-Lewisdale-Pl_Mechanicsville_VA_23116_M57540-56082?view=qv,395000,3,2.5,2410,0.12,2016,8,Brick/Vinyl,Atlee
40,https://www.realtor.com/realestateandhomes-detail/17715-Tyler-Station-Rd_Beaverdam_VA_23015_M58216-70747?ex=VA2284855069&view=qv,229950,3,2,1400,2.45,2019,7,Vinyl,Patrick Henry
41,https://www.realtor.com/realestateandhomes-detail/15135-Brabrand-Ln_Montpelier_VA_23192_M52185-90069?view=qv,342950,3,2.5,1882,7.41,2009,7,Vinyl,Patrick Henry
42,https://www.realtor.com/realestateandhomes-detail/10248-Korona-Dr_Mechanicsville_VA_23116_M60880-11357?view=qv,350000,4,2.5,2270,1.01,1965,8,Brick/Vinyl,Hanover
43,https://www.realtor.com/realestateandhomes-detail/8364-Curnow-Dr_Mechanicsville_VA_23111_M65449-88569?view=qv,264950,3,2.5,1852,0.36,1996,7,Vinyl,Hanover
44,https://www.realtor.com/realestateandhomes-detail/9263-Shannon-Rd_Mechanicsville_VA_23116_M52711-60116?view=qv,369000,3,2.5,2770,0.73,2017,8,Vinyl,Hanover
45,https://www.realtor.com/realestateandhomes-detail/8102-Bell-Creek-Rd_Mechanicsville_VA_23111_M55245-27042?view=qv,210000,3,1,1196,0.37,1984,6,Vinyl,Lee Davis
46,https://www.realtor.com/realestateandhomes-detail/7477-Mountain-Lily-Ln_Mechanicsville_VA_23111_M62540-84844?view=qv,234999,3,2.5,1650,0.24,1996,6,Vinyl,Atlee
47,https://www.realtor.com/realestateandhomes-detail/20021-Woodland-Fox-Ln_Rockville_VA_23146_M61488-86085?view=qv,459500,4,3.5,3161,5.18,1995,8,Vinyl,Patrick Henry
48,https://www.realtor.com/realestateandhomes-detail/8166-Little-Florida-Rd_Mechanicsville_VA_23111_M60967-54180?view=qv,209950,3,1,1014,3,1978,5,Vinyl,Lee Davis
49,https://www.realtor.com/realestateandhomes-detail/10220-Rolling-Stone-Ln_Mechanicsville_VA_23116_M91866-84342?view=qv,489950,3,2,1807,20,1975,6,Brick,Hanover
50,https://www.realtor.com/realestateandhomes-detail/8416-Summer-Walk-Pkwy_Mechanicsville_VA_23116_M56559-29201?view=qv,350000,5,3.5,2724,0.59,1998,10,Vinyl,Atlee
51,https://www.realtor.com/realestateandhomes-detail/9154-Chartwell-Ct_Mechanicsville_VA_23116_M56765-63161?view=qv,325000,4,2,1980,0.8,1971,8,Brick,Hanover
52,https://www.realtor.com/realestateandhomes-detail/14541-Cedar-Creek-Farm-Ln_Montpelier_VA_23192_M54200-54158?ex=VA2282309383&view=qv,765000,4,3.5,4189,10.6,2002,8,Brick,Patrick Henry
53,https://www.realtor.com/realestateandhomes-detail/9512-Alexgarden-Ct_Mechanicsville_VA_23116_M67531-86205?view=qv,349950,4,2.5,3160,0.55,2003,9,Vinyl,Atlee
54,https://www.realtor.com/realestateandhomes-detail/6410-Sledds-Lake-Rd_Mechanicsville_VA_23111_M66437-17790?view=qv,250000,4,2,1634,0.36,1988,6,Vinyl,Lee Davis
55,https://www.realtor.com/realestateandhomes-detail/9090-Haversack-Ln_Mechanicsville_VA_23116_M66537-57338?view=qv,359950,5,3.5,3210,0.18,2004,10,Vinyl,Hanover
56,https://www.realtor.com/realestateandhomes-detail/8222-Eagle-Creek-Pl_Mechanicsville_VA_23116_M55616-63517?view=qv,374950,4,2.5,2400,0.32,1999,10,Brick/Vinyl,Atlee
57,https://www.realtor.com/realestateandhomes-detail/9110-Fox-Hill-Race-Ct_Mechanicsville_VA_23116_M56127-77166?view=qv,384999,4,2.5,3007,0.34,1993,10,Vinyl,Hanover
58,https://www.realtor.com/realestateandhomes-detail/6079-Homehills-Rd_Mechanicsville_VA_23111_M67581-27535?view=qv,293500,4,2.5,2016,0.25,1996,9,Vinyl,Lee Davis
59,https://www.realtor.com/realestateandhomes-detail/10195-Durhams-Ferry-Pl_Mechanicsville_VA_23116_M65971-99377?view=qv,419950,4,2.5,3382,0.31,1994,10,Wood,Atlee
60,https://www.realtor.com/realestateandhomes-detail/9447-Doral-Pl_Mechanicsville_VA_23116_M55387-45329?view=qv,334950,4,2.5,2260,0.34,2002,9,Wood,Atlee
61,https://www.realtor.com/realestateandhomes-detail/14536-Foxford-Ln_Glen-Allen_VA_23059_M69725-43630?view=qv,1250000,4,5,8083,1.77,2009,11,Wood,Patrick Henry
62,https://www.realtor.com/realestateandhomes-detail/9098-Shakopee-Trl_Mechanicsville_VA_23116_M65623-53120?view=qv,489500,4,3.5,2868,0.27,2017,9,Wood,Hanover
63,https://www.realtor.com/realestateandhomes-detail/19123-Blackberry-Ln_Rockville_VA_23146_M50592-82568?view=qv,220000,3,2,1624,5.03,1985,6,Wood,Patrick Henry
64,https://www.realtor.com/realestateandhomes-detail/16429-Little-River-Dr_Beaverdam_VA_23015_M53275-21600?view=qv,350000,4,2.5,2410,6.51,1988,8,Wood,Patrick Henry
